"gene"	"count"
"568"	"ENSG00000167779"	0
"569"	"ENSG00000111667"	0
"570"	"ENSG00000177697"	0
"571"	"ENSG00000163362"	0
"572"	"ENSG00000137656"	1
"573"	"ENSG00000123500"	0
"574"	"ENSG00000125482"	1
"575"	"ENSG00000105339"	1
"576"	"ENSG00000106617"	0
"577"	"ENSG00000104691"	0
"578"	"ENSG00000144227"	0
"579"	"ENSG00000204681"	0
"580"	"ENSG00000006634"	0
"581"	"ENSG00000198478"	0
"582"	"ENSG00000155304"	0
"583"	"ENSG00000211454"	1
"584"	"ENSG00000130475"	1
"585"	"ENSG00000109390"	0
"586"	"ENSG00000143450"	0
"587"	"ENSG00000206156"	0
"588"	"ENSG00000145349"	0
"589"	"ENSG00000165023"	0
"590"	"ENSG00000123091"	0
"591"	"ENSG00000175325"	0
"592"	"ENSG00000196873"	1
"593"	"ENSG00000010626"	0
"594"	"ENSG00000141655"	0
"595"	"ENSG00000120256"	1
"596"	"ENSG00000150760"	0
"597"	"ENSG00000198805"	0
"598"	"ENSG00000108055"	0
"599"	"ENSG00000101444"	1
"600"	"ENSG00000211979"	0
"601"	"ENSG00000111671"	1
"602"	"ENSG00000215220"	0
"603"	"ENSG00000157764"	2
"604"	"ENSG00000115641"	0
"605"	"ENSG00000005955"	0
"606"	"ENSG00000056097"	0
"607"	"ENSG00000063244"	0
"608"	"ENSG00000106853"	0
"609"	"ENSG00000198843"	0
"610"	"ENSG00000132376"	0
"611"	"ENSG00000147168"	0
"612"	"ENSG00000197172"	0
"613"	"ENSG00000111276"	0
"614"	"ENSG00000100604"	0
"615"	"ENSG00000105383"	1
"616"	"ENSG00000091513"	0
"617"	"ENSG00000092067"	1
"618"	"ENSG00000106688"	0
"619"	"ENSG00000109220"	0
"620"	"ENSG00000117174"	0
"621"	"ENSG00000170264"	2
"622"	"ENSG00000166133"	0
"623"	"ENSG00000093009"	0
"624"	"ENSG00000141279"	0
"625"	"ENSG00000101365"	1
"626"	"ENSG00000125207"	0
"627"	"ENSG00000134245"	0
"628"	"ENSG00000167695"	0
"629"	"ENSG00000136205"	1
"630"	"ENSG00000134256"	0
"631"	"ENSG00000143190"	0
"632"	"ENSG00000145604"	0
"633"	"ENSG00000167081"	1
"634"	"ENSG00000164825"	0
"635"	"ENSG00000198818"	0
"636"	"ENSG00000143401"	0
"637"	"ENSG00000102898"	0
"638"	"ENSG00000102391"	0
"639"	"ENSG00000120658"	0
"640"	"ENSG00000119673"	0
"641"	"ENSG00000087077"	0
"642"	"ENSG00000187730"	1
"643"	"ENSG00000163026"	0
"644"	"ENSG00000108270"	0
"645"	"ENSG00000125841"	0
"646"	"ENSG00000172037"	0
"647"	"ENSG00000092850"	1
"648"	"ENSG00000120087"	0
"649"	"ENSG00000139719"	0
"650"	"ENSG00000213927"	0
"651"	"ENSG00000215305"	1
"652"	"ENSG00000144583"	1
"653"	"ENSG00000162542"	1
"654"	"ENSG00000124601"	0
"655"	"ENSG00000182217"	0
"656"	"ENSG00000117500"	0
"657"	"ENSG00000178691"	0
"658"	"ENSG00000005194"	0
"659"	"ENSG00000204439"	0
"660"	"ENSG00000154127"	0
"661"	"ENSG00000155906"	0
"662"	"ENSG00000095139"	0
"663"	"ENSG00000145911"	0
"664"	"ENSG00000075891"	0
"665"	"ENSG00000169710"	1
"666"	"ENSG00000139626"	0
"667"	"ENSG00000167964"	1
"668"	"ENSG00000160218"	0
"669"	"ENSG00000159593"	1
"670"	"ENSG00000112304"	0
"671"	"ENSG00000164761"	0
"672"	"ENSG00000172179"	1
"673"	"ENSG00000146122"	0
"674"	"ENSG00000183682"	1
"675"	"ENSG00000118729"	0
"676"	"ENSG00000138175"	0
"677"	"ENSG00000119917"	0
"678"	"ENSG00000079482"	0
"679"	"ENSG00000162975"	0
"680"	"ENSG00000173482"	0
"681"	"ENSG00000213030"	0
"682"	"ENSG00000015568"	0
"683"	"ENSG00000169045"	0
"684"	"ENSG00000117682"	1
"685"	"ENSG00000206324"	0
"686"	"ENSG00000132207"	0
"687"	"ENSG00000185254"	0
"688"	"ENSG00000138193"	2
"689"	"ENSG00000119950"	0
"690"	"ENSG00000100994"	1
"691"	"ENSG00000065882"	1
"692"	"ENSG00000105173"	0
"693"	"ENSG00000171136"	0
"694"	"ENSG00000125398"	3
"695"	"ENSG00000107020"	0
"696"	"ENSG00000100156"	0
"697"	"ENSG00000112619"	2
"698"	"ENSG00000094804"	0
"699"	"ENSG00000168615"	0
"700"	"ENSG00000174516"	0
"701"	"ENSG00000196935"	0
"702"	"ENSG00000163359"	4
"703"	"ENSG00000089154"	0
"704"	"ENSG00000124610"	0
"705"	"ENSG00000121552"	0
"706"	"ENSG00000197448"	0
"707"	"ENSG00000095370"	1
"708"	"ENSG00000197601"	0
"709"	"ENSG00000075624"	0
"710"	"ENSG00000034152"	0
"711"	"ENSG00000174640"	0
"712"	"ENSG00000101670"	0
"713"	"ENSG00000157450"	1
"714"	"ENSG00000164916"	1
"715"	"ENSG00000182871"	0
"716"	"ENSG00000136732"	0
"717"	"ENSG00000113648"	0
"718"	"ENSG00000152402"	0
"719"	"ENSG00000138778"	0
"720"	"ENSG00000017373"	0
"721"	"ENSG00000117475"	0
"722"	"ENSG00000012124"	1
"723"	"ENSG00000159082"	0
"724"	"ENSG00000137393"	0
"725"	"ENSG00000196540"	0
"726"	"ENSG00000166592"	0
"727"	"ENSG00000185602"	0
"728"	"ENSG00000125726"	0
"729"	"ENSG00000146276"	0
"730"	"ENSG00000186818"	0
"731"	"ENSG00000158792"	0
"732"	"ENSG00000165272"	0
"733"	"ENSG00000072506"	0
"734"	"ENSG00000131941"	0
"735"	"ENSG00000113328"	0
"736"	"ENSG00000198924"	2
"737"	"ENSG00000165807"	0
"738"	"ENSG00000178467"	0
"739"	"ENSG00000170941"	0
"740"	"ENSG00000117507"	0
"741"	"ENSG00000126550"	0
"742"	"ENSG00000144597"	0
"743"	"ENSG00000167601"	1
"744"	"ENSG00000161513"	0
"745"	"ENSG00000155052"	0
"746"	"ENSG00000125170"	0
"747"	"ENSG00000137074"	0
"748"	"ENSG00000047644"	0
"749"	"ENSG00000174697"	0
"750"	"ENSG00000206443"	0
"751"	"ENSG00000020577"	0
"752"	"ENSG00000115183"	0
"753"	"ENSG00000183648"	0
"754"	"ENSG00000152578"	0
"755"	"ENSG00000137288"	0
"756"	"ENSG00000015133"	2
"757"	"ENSG00000167085"	0
"758"	"ENSG00000108256"	1
"759"	"ENSG00000137285"	0
"760"	"ENSG00000174227"	1
"761"	"ENSG00000176894"	0
"762"	"ENSG00000114107"	0
"763"	"ENSG00000101452"	0
"764"	"ENSG00000162078"	0
"765"	"ENSG00000151065"	1
"766"	"ENSG00000100129"	0
"767"	"ENSG00000130177"	1
"768"	"ENSG00000166507"	0
"769"	"ENSG00000126254"	0
"770"	"ENSG00000167654"	0
"771"	"ENSG00000156313"	0
"772"	"ENSG00000205570"	0
"773"	"ENSG00000205531"	0
"774"	"ENSG00000168872"	0
"775"	"ENSG00000108684"	0
"776"	"ENSG00000134996"	0
"777"	"ENSG00000111241"	0
"778"	"ENSG00000159214"	0
"779"	"ENSG00000135968"	0
"780"	"ENSG00000020633"	0
"781"	"ENSG00000038295"	1
"782"	"ENSG00000186827"	0
"783"	"ENSG00000165914"	1
"784"	"ENSG00000106991"	0
"785"	"ENSG00000196531"	0
"786"	"ENSG00000163295"	0
"787"	"ENSG00000167791"	0
"788"	"ENSG00000014123"	0
"789"	"ENSG00000101017"	0
"790"	"ENSG00000111344"	0
"791"	"ENSG00000164400"	0
"792"	"ENSG00000204525"	0
"793"	"ENSG00000078900"	1
"794"	"ENSG00000137462"	0
